PRODUCT, PRODUCT, LEVENSHTEIN
adoçante líquido assugrin 100ml,adocante liquido assugrin 100ml,1.0
feijão carioca broto legal 1kg,feijao carioca broto legal pacote 1kg,1.1999999999999997
feijão carioca tipo 1 camil 1kg,feijao carioca tipo 1 camil pacote 1kg,1.1999999999999997
arroz integral camil 1kg,arroz integral tipo 1 camil pacote 1kg,1.3999999999999995
feijão branco camil 500g,feijao branco camil pacote 500g,1.1999999999999997
arroz parboilizado tipo 1 camil 5kg,arroz parboilizado tipo 1 camil pacote 5kg,0.6999999999999997
açúcar refinado caravelas pacote 1kg,acucar refinado caravelas pacote 1kg,1.0
sal refinado cisne 1kg,sal refinado cisne pacote 1kg,0.6999999999999997
sal grosso para churrasco cisne 1 kg,sal grosso para churrasco cisne pacote 1kg,1.0999999999999996
sal refinado light cisne 500g,sal refinado light cisne pacote 500g,0.6999999999999997
composto lácteo milnutri danone lata 800g,composto lacteo milnutri danone lata 800g,0.5
adoçante líquido sucralose gold 75ml,adocante liquido sucralose gold 75ml,1.0
adoçante líquido aspartame gold 65ml,adocante liquido aspartame gold 65ml,1.0
arroz italiano arbório inverni 500g,arroz italiano arborio inverni caixa 500g,1.0999999999999996
sopa de carne knorr 73g,sopa de carne com macarrao knorr 73g,1.2999999999999998
sopa de creme de galinha knorr 64g,sopa creme de galinha knorr 64g,0.2999999999999998
sal refinado lebre 1kg,sal refinado lebre pacote 1kg,0.6999999999999997
sal refinado light lebre 500g,sal refinado light lebre pacote 500g,0.6999999999999997
adoçante líquido stevia linea 60ml,adocante liquido stevia linea 60ml,1.0
adoçante líquido stevia linea 25ml,adocante liquido stevia linea 25ml,1.0
sopa de cebola maggi 68g,sopa de cebola maggi pacote 68g,0.6999999999999997
arroz integral tipo 1 prato fino pacote 1kg,arroz integral tipo 1 prato fino pacote 1kg,0.0
arroz integral raris 1kg,arroz integral tipo 1 raris pacote 1kg,1.3999999999999995
farinha de trigo integral renata 1 kg,farinha de trigo integral renata pacote 1kg,1.0999999999999996
arroz preto rezene 500g,arroz preto ruzene pote 500g,1.0
arroz polido tipo 1 tio joão pacote 1kg,arroz parboilizado tipo 1 tio joao pacote 1kg,1.0999999999999996
sopa de queijo e tomate e manjericão vono 16g,sopa de queijo com tomate e manjericao vono 16g,1.2
sopa de mandioquinha com cebola e salsa vono 17g,sopa de mandioquinha com cebola e salsa vono pacote 17g,0.6999999999999997
sopa de milho com frango vono 18g,sopa de milho com frango vono 18g,0.0
lentilha yoki 500g,lentilha yoki pacote 500g,0.6999999999999997
ervilha partida yoki 500g,ervilha partida yoki 500g,0.0
feijão branco yoki 500g,feijao branco yoki pacote 500g,1.1999999999999997
adoçante líquido zero cal 100ml,adocante liquido zero cal 100ml,1.0
adoçante líquido aspartame zero cal 100ml,adocante liquido com aspartame zero cal 100ml,1.4
creme de leite pasteurizado ati latte 500g,creme de leite pasteurizado atillate 500g,0.6
creme de leite italac 200g,creme de leite italac caixa 200g,0.5999999999999996
doce de leite zero tradicional linea vidro 210g,doce de leite tradicional linea vidro 210g,0.5
creme de leite nestlé 200g,creme de leite nestle caixa 200g,1.0999999999999996
creme de leite nestlé lata 300g,creme de leite nestle lata 300g,0.5
creme de leite light nestlé 290g,creme de leite light nestle lata 290g,1.0
creme de leite gourmet piracanjuba 200g,creme de leite gourmet piracanjuba caixa 200g,0.5999999999999996
chá branco e lichia feel good 1 litro,cha branco sabor lichia feel good 1 litro,1.4
chá verde laranja com gengibre feel good 1 litro,cha verde sabor laranja com gengibre feel good 1 litro,1.0999999999999996
chá vermelho amora feel good 1 litro,cha vermelho com amora  feel good 1 litro,1.0
chá branco feel good 1 litro,cha branco feel good 1 litro,0.5
energético fusion 1 litro,energetico fusion garrafa 1 litro,1.2999999999999998
chimarrão pampas pacote 500g,chimarrao dos pampas pacote 500g,0.8999999999999999
suco de laranja bela vista 200ml,suco de laranja fazenda bela vista 200ml,0.7999999999999998
suco de laranja bela vista 1 litro,suco de laranja fazenda bela vista 1 litro,0.7999999999999998
refrigerante coca-cola lata 220ml,refrigerante coca cola mini lata 220ml,1.0
refrigerante coca-cola zero lata 350ml,refrigerante coca cola zero lata 350ml,0.5
refrigerante coca-cola lata 310ml,refrigerante coca cola zero lata 310ml,1.0
refrigerante coca-cola lata 350ml,refrigerante coca cola lata 350ml,0.5
suco de uva del valle 100% 1 litro,suco de uva del valle 100 suco 1 litro,0.8999999999999999
suco de laranja del valle 100% 1 litro,suco de laranja del valle 100 suco 1 litro,0.8999999999999999
suco de laranja do bem 200ml,suco de laranja integral do bem 200ml,0.8999999999999999
suco de laranja com gominhos do bem 1 litro,suco de laranja integral com gominhos do bem 1 litro,0.8999999999999999
refrigerante itubaína 2 litros,refrigerante itubaina garrafa 2 litros,1.2999999999999998
refrigerante itubaína zero retrô garrafa 355ml,refrigerante itubaina zero retro garrafa 355ml,1.0
refrigerante itubaína retrô garrafa 355ml,refrigerante itubaina retro garrafa 355ml,1.0
suco de cranberry zero juxx 1 litro,suco de cranberry juxx 1 litro,0.5
suco de cranberry juxx 1 litro,suco de cranberry light juxx 1 litro,0.5999999999999996
suco de uva kapo del valle 200ml,suco de uva kapo 200ml,1.0
suco de morango kapo 200ml,suco de morango kapo 200ml,0.0
suco de maracujá kapo 200ml,suco de maracuja kapo 200ml,0.5
suco de laranja kapo 200ml,suco de laranja kapo 200ml,0.0
suco de abacaxi kapo 200ml,suco de abacaxi kapo 200ml,0.0
suco de cranberry liv 1 litro,suco de cranberry liv 1 litro,0.0
néctar de maracujá maguary 1 litro,nectar de maca maguary 1 litro,1.4
néctar de maracujá light maguary 1 litro,nectar de maracuja light maguary 1 litro,1.0
molho de tomate olive barilla 400g,molho de tomate olive barilla vidro 400g,0.5999999999999996
cerveja alemã benediktiner weissbier garrafa 500ml,cerveja benediktiner weissbier garrafa 500ml,0.5999999999999996
cerveja nacional bohemia lata 350ml,cerveja bohemia lata 350ml,0.8999999999999999
cerveja americana budweiser lata 350ml,cerveja budweiser lata 350ml,1.0
cerveja nacional budweiser lata 269ml,cerveja budweiser lata 269ml,0.8999999999999999
cerveja nacional colorado demoiselle garrafa 600ml,cerveja colorado demoiselle garrafa 600ml,0.8999999999999999
cerveja nacional colorado appia garrafa 600ml,cerveja colorado appia garrafa 600ml,0.8999999999999999
cerveja nacional colorado cauim garrafa 600ml,cerveja colorado cauim garrafa 600ml,0.8999999999999999
cerveja belga delirium nocturnum garrafa 330ml,cerveja belga delirium nocturnum garrafa 330ml,0.0
